品目コード,品名,ライン,入目,流速,テンパリング,沃素価,KI製品,初回限定,最終限定,リパック,予定数量(㎏),納期,チケットＮＯ,備考,生産日,順番,slot,nouki_copy,窒素ガス,MO-7S配合,アレルゲン,SP_time_taken,SV_time_taken,SP_rate/hr,SV_rate/hr,start,end,day
25126221000,ｽﾃｲﾔ-SA,,15.0,,,高,×,,〇,×,12700,2024-03-12,,ｽﾃｲﾔｰｼﾘｰｽﾞ計画順番 ； STｼｮｰﾄ → ｽﾃｲﾔｰﾃﾞﾗｯｸｽK → ｽﾃｲﾔｰｽﾍﾟｼｬﾙ/ｱｺﾙﾄ → ｽﾃｲﾔｰSA,2024-03-12,7,2024-03-12 18:29:00-->2024-03-12 20:27:00,2024-03-12,〇,×,A,127,118,"6,000","6,500",2024-03-12 18:29:00,2024-03-12 20:27:00,Tuesday
25804921000,MB-ｻﾝﾄﾞｼｮｰﾄDX-TL(M),,15.0,,〇,,×,,,×,38100,2024-03-18,,,2024-03-13,1,2024-03-13 07:20:00-->2024-03-13 12:06:00,2024-03-15,,×,A,381,286,"6,000","8,000",2024-03-13 07:20:00,2024-03-13 12:06:00,Wednesday
25217722000,ﾁｪｽﾀ-LPV-TL2(18K),,18.0,,〇,,×,,,×,12700,2024-03-20,,底ﾊﾟｯﾄﾞ敷あり｡公出時生産不可｡,2024-03-13,2,2024-03-13 12:36:00-->2024-03-13 14:12:00,2024-03-19,〇,×,A,127,96,"6,000","8,000",2024-03-13 12:36:00,2024-03-13 14:12:00,Wednesday
25213124040,ﾁｴｽﾀ- 88(12.7K)(4),,12.7,,〇,,×,,,×,4000,2024-03-20,,,2024-03-13,3,2024-03-13 14:32:00-->2024-03-13 15:08:00,2024-03-19,〇,×,A,40,36,"6,000","6,800",2024-03-13 14:32:00,2024-03-13 15:08:00,Wednesday
25224321040,PVｼｮｰﾄ(B) (4),,15.0,,,,×,,,×,12700,2024-03-14,,,2024-03-13,4,2024-03-13 15:28:00-->2024-03-13 17:10:00,2024-03-14,〇,×,A,142,102,"5,400","7,500",2024-03-13 15:28:00,2024-03-13 17:10:00,Wednesday
25299021000,ｼｮ-ﾄﾆﾝｸﾞLO-T2,,15.0,,,,×,,,×,12700,2024-03-16,,,2024-03-13,5,2024-03-13 17:40:00-->2024-03-13 19:16:00,2024-03-15,,×,A,127,96,"6,000","8,000",2024-03-13 17:40:00,2024-03-13 19:16:00,Wednesday
25217621380,ｻﾝﾄﾞｼｮｰﾄNT (38ﾟC),,15.0,,,低,×,,,×,12700,2024-03-16,,,2024-03-13,6,2024-03-13 19:46:00-->2024-03-13 21:22:00,2024-03-15,〇,×,A,127,96,"6,000","8,000",2024-03-13 19:46:00,2024-03-13 21:22:00,Wednesday
25222522060,ﾊﾟﾈﾘ-ｼｮｰﾄST-2-TL(38),,20.0,,〇,,×,,,×,5000,2024-03-21,,,2024-03-14,1,2024-03-14 07:20:00-->2024-03-14 07:58:00,2024-03-20,〇,×,A,56,38,"5,400","8,000",2024-03-14 07:20:00,2024-03-14 07:58:00,Thursday
25222522040,ﾊﾟﾈﾘ-ｼｮｰﾄST-2-TL(35),,20.0,,〇,,×,,,×,7500,2024-03-21,,,2024-03-14,2,2024-03-14 08:18:00-->2024-03-14 09:15:00,2024-03-20,〇,×,A,84,57,"5,400","8,000",2024-03-14 08:18:00,2024-03-14 09:15:00,Thursday
25326521000,ﾊﾟﾈﾘ-PV(F),,15.0,,,,×,,,×,12700,2024-03-16,,,2024-03-14,3,2024-03-14 09:35:00-->2024-03-14 11:11:00,2024-03-15,〇,×,A,153,96,"5,000","8,000",2024-03-14 09:35:00,2024-03-14 11:11:00,Thursday
