繰上不可(×）,依頼日,品目コード,入目,予定数量(㎏),納期,チケットＮＯ,品名,入れ目,荷姿,SVライン,SV流量(㎏/h),SPライン,SP流量(㎏/h),アレルゲン,初回限定,最終限定,KI製品,テンパリング,窒素ガス,沃素価,バッチ制限,MO-7S配合,リパック,特記事項,nouki_copy,KI,SP_rate/hr,SP_time_taken,SV_rate/hr,SV_time_taken,slot,ライン,備考,流速,生産日,順番
,,25222123040,20.0,5000,2024-02-29,,ﾆｭｰｼｮｰﾄﾆﾝｸﾞ20㎏(4),,,,,,,,,,,,,,,,×,,2024-02-29,×,"6,000",0.0,"8,000",38.0,,,,,,
,,25222123040,20.0,5000,2024-02-14,,ﾆｭｰｼｮｰﾄﾆﾝｸﾞ20㎏(4),,,,,,,,,,,,,,,,×,,2024-02-14,×,"6,000",0.0,"8,000",38.0,,,,,,
,,25222123040,20.0,5000,2024-02-21,,ﾆｭｰｼｮｰﾄﾆﾝｸﾞ20㎏(4),,,,,,,,,,,,,,,,×,,2024-02-21,×,"6,000",0.0,"8,000",38.0,,,,,,
,,25222123040,20.0,5000,2024-03-21,,ﾆｭｰｼｮｰﾄﾆﾝｸﾞ20㎏(4),,,,,,,,,,,,,,,,×,,2024-03-21,×,"6,000",0.0,"8,000",38.0,,,,,,
,,25222123040,20.0,5000,2024-04-04,,ﾆｭｰｼｮｰﾄﾆﾝｸﾞ20㎏(4),,,,,,,,,,,,,,,,×,,2024-04-04,×,"6,000",0.0,"8,000",38.0,,,,,,
,,25222123040,20.0,5000,2024-04-26,,ﾆｭｰｼｮｰﾄﾆﾝｸﾞ20㎏(4),,,,,,,,,,,,,,,,×,,2024-04-26,×,"6,000",0.0,"8,000",38.0,,,,,,
,,25222123040,20.0,5000,2024-04-11,,ﾆｭｰｼｮｰﾄﾆﾝｸﾞ20㎏(4),,,,,,,,,,,,,,,,×,,2024-04-11,×,"6,000",0.0,"8,000",38.0,,,,,,
,,25222123040,20.0,7500,2024-04-24,,ﾆｭｰｼｮｰﾄﾆﾝｸﾞ20㎏(4),,,,,,,,,,,,,,,,×,,2024-04-24,×,"6,000",0.0,"8,000",57.0,,,,,,
,,25222123040,20.0,5000,2024-05-06,,ﾆｭｰｼｮｰﾄﾆﾝｸﾞ20㎏(4),,,,,,,,,,,,,,,,×,,2024-05-06,×,"6,000",0.0,"8,000",38.0,,,,,,
,,25222123040,20.0,7500,2024-05-06,,ﾆｭｰｼｮｰﾄﾆﾝｸﾞ20㎏(4),,,,,,,,,,,,,,,,×,,2024-05-06,×,"6,000",0.0,"8,000",57.0,,,,,,
,,25222123040,20.0,5000,2024-05-08,,ﾆｭｰｼｮｰﾄﾆﾝｸﾞ20㎏(4),,,,,,,,,,,,,,,,×,,2024-05-08,×,"6,000",0.0,"8,000",38.0,,,,,,
,,25222123040,20.0,7500,2024-05-15,,ﾆｭｰｼｮｰﾄﾆﾝｸﾞ20㎏(4),,,,,,,,,,,,,,,,×,,2024-05-15,×,"6,000",0.0,"8,000",57.0,,,,,,
,,25222123040,20.0,5000,2024-05-22,,ﾆｭｰｼｮｰﾄﾆﾝｸﾞ20㎏(4),,,,,,,,,,,,,,,,×,,2024-05-22,×,"6,000",0.0,"8,000",38.0,,,,,,
,,25217922850,18.8,4000,2024-02-24,,AP-1 (M),,,,,,,,,,,〇,,,,,×,,2024-02-23,×,"6,000",0.0,"8,000",30.0,,,,,,
,,25217922850,18.8,4000,2024-04-30,,AP-1 (M),,,,,,,,,,,〇,,,,,×,,2024-04-29,×,"6,000",0.0,"8,000",30.0,,,,,,
