繰上不可(×）,依頼日,品目コード,入目,予定数量(㎏),納期,チケットＮＯ,品名,入れ目,荷姿,SVライン,SV流量(㎏/h),SPライン,SP流量(㎏/h),アレルゲン,初回限定,最終限定,KI製品,テンパリング,窒素ガス,沃素価,バッチ制限,MO-7S配合,リパック,特記事項,納期_copy,firsts,lasts,last_first,time_taken,SV_time_taken,SP_time_taken,no_renzoku_seisan,clean_time,kouyousoka_maya,arerukon_maya,weight_limit,only_two,mc_renzo,stretch_flag
,2024-01-30,25126221000,15.0,12700,2024-02-22,,ｽﾃｲﾔ-SA,15.0,C/S,〇,"6,500",〇,"6,000",A,,〇,×,,〇,高,,×,×,ｽﾃｲﾔｰｼﾘｰｽﾞ計画順番 ； STｼｮｰﾄ → ｽﾃｲﾔｰﾃﾞﾗｯｸｽK → ｽﾃｲﾔｰｽﾍﾟｼｬﾙ/ｱｺﾙﾄ → ｽﾃｲﾔｰSA,2024-02-22,0,1,0,0,118,0,1,0,0,0,0,0,0,0
,2024-02-06,25126221000,15.0,12700,2024-03-12,,ｽﾃｲﾔ-SA,15.0,C/S,〇,"6,500",〇,"6,000",A,,〇,×,,〇,高,,×,×,ｽﾃｲﾔｰｼﾘｰｽﾞ計画順番 ； STｼｮｰﾄ → ｽﾃｲﾔｰﾃﾞﾗｯｸｽK → ｽﾃｲﾔｰｽﾍﾟｼｬﾙ/ｱｺﾙﾄ → ｽﾃｲﾔｰSA,2024-03-12,0,1,0,0,118,0,1,0,0,0,0,0,0,0
,2024-02-27,25126221000,15.0,12700,2024-04-03,,ｽﾃｲﾔ-SA,15.0,C/S,〇,"6,500",〇,"6,000",A,,〇,×,,〇,高,,×,×,ｽﾃｲﾔｰｼﾘｰｽﾞ計画順番 ； STｼｮｰﾄ → ｽﾃｲﾔｰﾃﾞﾗｯｸｽK → ｽﾃｲﾔｰｽﾍﾟｼｬﾙ/ｱｺﾙﾄ → ｽﾃｲﾔｰSA,2024-04-03,0,1,0,0,118,0,1,0,0,0,0,0,0,0
,2024-03-18,25126221000,15.0,12700,2024-04-15,,ｽﾃｲﾔ-SA,15.0,C/S,〇,"6,500",〇,"6,000",A,,〇,×,,〇,高,,×,×,ｽﾃｲﾔｰｼﾘｰｽﾞ計画順番 ； STｼｮｰﾄ → ｽﾃｲﾔｰﾃﾞﾗｯｸｽK → ｽﾃｲﾔｰｽﾍﾟｼｬﾙ/ｱｺﾙﾄ → ｽﾃｲﾔｰSA,2024-04-15,0,1,0,0,118,0,1,0,0,0,0,0,0,0
,2024-04-03,25126221000,15.0,12700,2024-04-30,,ｽﾃｲﾔ-SA,15.0,C/S,〇,"6,500",〇,"6,000",A,,〇,×,,〇,高,,×,×,ｽﾃｲﾔｰｼﾘｰｽﾞ計画順番 ； STｼｮｰﾄ → ｽﾃｲﾔｰﾃﾞﾗｯｸｽK → ｽﾃｲﾔｰｽﾍﾟｼｬﾙ/ｱｺﾙﾄ → ｽﾃｲﾔｰSA,2024-04-30,0,1,0,0,118,0,1,0,0,0,0,0,0,0
,2024-04-22,25126221000,15.0,12700,2024-05-23,,ｽﾃｲﾔ-SA,15.0,C/S,〇,"6,500",〇,"6,000",A,,〇,×,,〇,高,,×,×,ｽﾃｲﾔｰｼﾘｰｽﾞ計画順番 ； STｼｮｰﾄ → ｽﾃｲﾔｰﾃﾞﾗｯｸｽK → ｽﾃｲﾔｰｽﾍﾟｼｬﾙ/ｱｺﾙﾄ → ｽﾃｲﾔｰSA,2024-05-23,0,1,0,0,118,0,1,0,0,0,0,0,0,0
,2024-05-09,25126221000,15.0,12700,2024-06-08,,ｽﾃｲﾔ-SA,15.0,C/S,〇,"6,500",〇,"6,000",A,,〇,×,,〇,高,,×,×,ｽﾃｲﾔｰｼﾘｰｽﾞ計画順番 ； STｼｮｰﾄ → ｽﾃｲﾔｰﾃﾞﾗｯｸｽK → ｽﾃｲﾔｰｽﾍﾟｼｬﾙ/ｱｺﾙﾄ → ｽﾃｲﾔｰSA,2024-06-07,0,1,0,0,118,0,1,0,0,0,0,0,0,0
,2024-01-30,25212521030,15.0,12700,2024-02-24,,ｼｮｰﾄﾆﾝｸﾞFJP DIR(3),15.0,C/S,〇,"8,000",〇,"5,000",A,〇,,×,,〇,,,×,×,副原料無添,2024-02-23,1,0,0,0,96,0,0,0,0,0,0,0,0,0
,2024-04-03,25212521030,15.0,6000,2024-05-08,,ｼｮｰﾄﾆﾝｸﾞFJP DIR(3),15.0,C/S,〇,"8,000",〇,"5,000",A,〇,,×,,〇,,,×,×,副原料無添,2024-05-08,1,0,0,0,45,0,0,0,0,0,0,0,0,0
,2024-05-09,25212521030,15.0,6000,2024-06-06,,ｼｮｰﾄﾆﾝｸﾞFJP DIR(3),15.0,C/S,〇,"8,000",〇,"5,000",A,〇,,×,,〇,,,×,×,副原料無添,2024-06-06,1,0,0,0,45,0,0,0,0,0,0,0,0,0
,2024-01-31,25222522060,20.0,5000,2024-02-08,,ﾊﾟﾈﾘ-ｼｮｰﾄST-2-TL(38),20.0,C/S,〇,"8,000",〇,"5,400",A,,,×,〇,〇,,,×,×,,2024-02-06,0,0,0,0,38,0,0,0,0,0,1,0,0,0
,2024-02-28,25222522060,20.0,5000,2024-03-07,,ﾊﾟﾈﾘ-ｼｮｰﾄST-2-TL(38),20.0,C/S,〇,"8,000",〇,"5,400",A,,,×,〇,〇,,,×,×,,2024-03-05,0,0,0,0,38,0,0,0,0,0,1,0,0,0
,2024-03-13,25222522060,20.0,5000,2024-03-21,,ﾊﾟﾈﾘ-ｼｮｰﾄST-2-TL(38),20.0,C/S,〇,"8,000",〇,"5,400",A,,,×,〇,〇,,,×,×,,2024-03-19,0,0,0,0,38,0,0,0,0,0,1,0,0,0
,2024-04-03,25222522060,20.0,5000,2024-04-11,,ﾊﾟﾈﾘ-ｼｮｰﾄST-2-TL(38),20.0,C/S,〇,"8,000",〇,"5,400",A,,,×,〇,〇,,,×,×,,2024-04-09,0,0,0,0,38,0,0,0,0,0,1,0,0,0
,2024-04-23,25222522060,20.0,5000,2024-04-30,,ﾊﾟﾈﾘ-ｼｮｰﾄST-2-TL(38),20.0,C/S,〇,"8,000",〇,"5,400",A,,,×,〇,〇,,,×,×,,2024-04-29,0,0,0,0,38,0,0,0,0,0,1,0,0,0
,2024-05-08,25222522060,20.0,7500,2024-05-15,,ﾊﾟﾈﾘ-ｼｮｰﾄST-2-TL(38),20.0,C/S,〇,"8,000",〇,"5,400",A,,,×,〇,〇,,,×,×,,2024-05-14,0,0,0,0,57,0,0,0,0,0,1,0,0,0
,2024-01-31,25222123040,20.0,5000,2024-02-08,,ﾆｭｰｼｮｰﾄﾆﾝｸﾞ20㎏(4),20.0,C/S,〇,"8,000",〇,"6,000",A,,,×,,〇,,,×,×,,2024-02-08,0,0,0,0,38,0,0,0,0,0,0,0,0,0
,2024-02-05,25222123040,20.0,5000,2024-02-29,,ﾆｭｰｼｮｰﾄﾆﾝｸﾞ20㎏(4),20.0,C/S,〇,"8,000",〇,"6,000",A,,,×,,〇,,,×,×,,2024-02-29,0,0,0,0,38,0,0,0,0,0,0,0,0,0
,2024-02-07,25222123040,20.0,5000,2024-02-14,,ﾆｭｰｼｮｰﾄﾆﾝｸﾞ20㎏(4),20.0,C/S,〇,"8,000",〇,"6,000",A,,,×,,〇,,,×,×,,2024-02-14,0,0,0,0,38,0,0,0,0,0,0,0,0,0
2024-02-21 00:00:00,2024-02-14,25222123040,20.0,5000,2024-02-21,,ﾆｭｰｼｮｰﾄﾆﾝｸﾞ20㎏(4),20.0,C/S,〇,"8,000",〇,"6,000",A,,,×,,〇,,,×,×,,2024-02-21,0,0,0,0,38,0,0,0,0,0,0,0,0,0
,2024-03-06,25222123040,20.0,5000,2024-03-14,,ﾆｭｰｼｮｰﾄﾆﾝｸﾞ20㎏(4),20.0,C/S,〇,"8,000",〇,"6,000",A,,,×,,〇,,,×,×,,2024-03-14,0,0,0,0,38,0,0,0,0,0,0,0,0,0
,2024-03-13,25222123040,20.0,5000,2024-03-21,,ﾆｭｰｼｮｰﾄﾆﾝｸﾞ20㎏(4),20.0,C/S,〇,"8,000",〇,"6,000",A,,,×,,〇,,,×,×,,2024-03-21,0,0,0,0,38,0,0,0,0,0,0,0,0,0
,2024-03-27,25222123040,20.0,5000,2024-04-04,,ﾆｭｰｼｮｰﾄﾆﾝｸﾞ20㎏(4),20.0,C/S,〇,"8,000",〇,"6,000",A,,,×,,〇,,,×,×,,2024-04-04,0,0,0,0,38,0,0,0,0,0,0,0,0,0
,2024-04-02,25222123040,20.0,5000,2024-04-26,,ﾆｭｰｼｮｰﾄﾆﾝｸﾞ20㎏(4),20.0,C/S,〇,"8,000",〇,"6,000",A,,,×,,〇,,,×,×,,2024-04-26,0,0,0,0,38,0,0,0,0,0,0,0,0,0
,2024-04-03,25222123040,20.0,5000,2024-04-11,,ﾆｭｰｼｮｰﾄﾆﾝｸﾞ20㎏(4),20.0,C/S,〇,"8,000",〇,"6,000",A,,,×,,〇,,,×,×,,2024-04-11,0,0,0,0,38,0,0,0,0,0,0,0,0,0
,2024-04-16,25222123040,20.0,7500,2024-04-24,,ﾆｭｰｼｮｰﾄﾆﾝｸﾞ20㎏(4),20.0,C/S,〇,"8,000",〇,"6,000",A,,,×,,〇,,,×,×,,2024-04-24,0,0,0,0,57,0,0,0,0,0,0,0,0,0
,2024-04-23,25222123040,20.0,5000,2024-05-06,,ﾆｭｰｼｮｰﾄﾆﾝｸﾞ20㎏(4),20.0,C/S,〇,"8,000",〇,"6,000",A,,,×,,〇,,,×,×,,2024-05-06,0,0,0,0,38,0,0,0,0,0,0,0,0,0
,2024-04-23,25222123040,20.0,7500,2024-05-06,,ﾆｭｰｼｮｰﾄﾆﾝｸﾞ20㎏(4),20.0,C/S,〇,"8,000",〇,"6,000",A,,,×,,〇,,,×,×,,2024-05-06,0,0,0,0,57,0,0,0,0,0,0,0,0,0
,2024-04-30,25222123040,20.0,5000,2024-05-08,,ﾆｭｰｼｮｰﾄﾆﾝｸﾞ20㎏(4),20.0,C/S,〇,"8,000",〇,"6,000",A,,,×,,〇,,,×,×,,2024-05-08,0,0,0,0,38,0,0,0,0,0,0,0,0,0
,2024-05-08,25222123040,20.0,7500,2024-05-15,,ﾆｭｰｼｮｰﾄﾆﾝｸﾞ20㎏(4),20.0,C/S,〇,"8,000",〇,"6,000",A,,,×,,〇,,,×,×,,2024-05-15,0,0,0,0,57,0,0,0,0,0,0,0,0,0
,2024-05-15,25222123040,20.0,5000,2024-05-22,,ﾆｭｰｼｮｰﾄﾆﾝｸﾞ20㎏(4),20.0,C/S,〇,"8,000",〇,"6,000",A,,,×,,〇,,,×,×,,2024-05-22,0,0,0,0,38,0,0,0,0,0,0,0,0,0
,2024-01-31,25217922850,18.8,4000,2024-02-24,,AP-1 (M),18.8,C/S,〇,"8,000",〇,"6,000",A,,,×,〇,,,,×,×,,2024-02-23,0,0,0,0,30,0,0,0,0,0,1,0,0,0
,2024-04-03,25217922850,18.8,4000,2024-04-30,,AP-1 (M),18.8,C/S,〇,"8,000",〇,"6,000",A,,,×,〇,,,,×,×,,2024-04-29,0,0,0,0,30,0,0,0,0,0,1,0,0,0
,2024-01-31,25138421830,15.0,5000,2024-02-24,,ISｼｮｰﾄﾆﾝｸﾞ(S),15.0,C/S,〇,"8,000",〇,"6,000",A,,,×,,〇,準高,,×,×,底ﾊﾟｯﾄﾞ敷あり｡公出時生産不可｡,2024-02-23,0,0,1,0,38,0,0,0,1,0,0,0,0,0
