繰上不可(×）,依頼日,品目コード,入目,予定数量(㎏),納期,チケットＮＯ,品名,入れ目,荷姿,SVライン,SV流量(㎏/h),SPライン,SP流量(㎏/h),アレルゲン,初回限定,最終限定,KI製品,テンパリング,窒素ガス,沃素価,バッチ制限,MO-7S配合,リパック,特記事項,nouki_copy,KI,SP_time_taken,SV_time_taken,slot,チケットNO,ライン,予定数量,備考,流速,生産日,順番
,,25222123040,20.0,,2024-05-15,,ﾆｭｰｼｮｰﾄﾆﾝｸﾞ20㎏(4),,,,,,,,,,,,,,,,×,,2024-05-15,×,57.0,57.0,,,,7500.0,,,,
,,25222123040,20.0,,2024-05-22,,ﾆｭｰｼｮｰﾄﾆﾝｸﾞ20㎏(4),,,,,,,,,,,,,,,,×,,2024-05-22,×,38.0,38.0,,,,5000.0,,,,
,,25217922850,18.8,,2024-02-24,,AP-1 (M),,,,,,,,,,,〇,,,,,×,,2024-02-23,×,30.0,30.0,,,,4000.0,,,,
,,25217922850,18.8,,2024-04-30,,AP-1 (M),,,,,,,,,,,〇,,,,,×,,2024-04-29,×,30.0,30.0,,,,4000.0,,,,
,,25138421830,15.0,,2024-02-24,,ISｼｮｰﾄﾆﾝｸﾞ(S),,,,,,,,,,,,,準高,,,×,,2024-02-23,×,38.0,38.0,,,,5000.0,底ﾊﾟｯﾄﾞ敷あり｡公出時生産不可｡,,,
,,25138421830,15.0,,2024-02-28,,ISｼｮｰﾄﾆﾝｸﾞ(S),,,,,,,,,,,,,準高,,,×,,2024-02-28,×,38.0,38.0,,,,5000.0,底ﾊﾟｯﾄﾞ敷あり｡公出時生産不可｡,,,
,,25138421830,15.0,,2024-03-30,,ISｼｮｰﾄﾆﾝｸﾞ(S),,,,,,,,,,,,,準高,,,×,,2024-03-29,×,38.0,38.0,,,,5000.0,底ﾊﾟｯﾄﾞ敷あり｡公出時生産不可｡,,,
,,25138421830,15.0,,2024-04-26,,ISｼｮｰﾄﾆﾝｸﾞ(S),,,,,,,,,,,,,準高,,,×,,2024-04-26,×,38.0,38.0,,,,5000.0,底ﾊﾟｯﾄﾞ敷あり｡公出時生産不可｡,,,
,,25719621870,15.0,,2024-06-10,,AKK-Ⅱ(H),,,,,,,,,,,,,低,,,×,,2024-06-10,×,68.0,68.0,,,,9000.0,,,,
,,25211321040,15.0,,2024-02-29,,ﾋﾞｸﾄﾘ-ｼｮｰﾄ (4),,,,,,,,,,,〇,,,,,×,,2024-02-28,×,30.0,30.0,,,,4000.0,,,,
,,25211321040,15.0,,2024-02-27,,ﾋﾞｸﾄﾘ-ｼｮｰﾄ (4),,,,,,,,,,,〇,,,,,×,,2024-02-26,×,30.0,30.0,,,,4000.0,,,,
,,25270521000,15.0,,2024-02-17,,ﾌｱﾝﾄﾑ1050,,,,,,,,,,,,,,,,×,,2024-02-16,○,0.0,32.0,,,,4000.0,,,,
,,25270521000,15.0,,2024-06-08,,ﾌｱﾝﾄﾑ1050,,,,,,,,,,,,,,,,×,,2024-06-07,○,0.0,80.0,,,,10000.0,,,,
,,25270521000,15.0,,2024-06-08,,ﾌｱﾝﾄﾑ1050,,,,,,,,,,,,,,,,×,,2024-06-07,○,0.0,80.0,,,,10000.0,,,,
,,25105621000,15.0,,2024-04-06,,ﾊﾟﾈﾘ-PV(12),,,,,,,,,,,,,,,,×,,2024-04-05,×,45.0,45.0,,,,6000.0,,,,
,,25105621000,15.0,,2024-04-25,,ﾊﾟﾈﾘ-PV(12),,,,,,,,,,,,,,,,×,,2024-04-25,×,45.0,45.0,,,,6000.0,,,,
,,25105621000,15.0,,2024-04-19,,ﾊﾟﾈﾘ-PV(12),,,,,,,,,,,,,,,,×,,2024-04-19,×,96.0,96.0,,,,12700.0,,,,
,,25105621000,15.0,,2024-05-27,,ﾊﾟﾈﾘ-PV(12),,,,,,,,,,,,,,,,×,,2024-05-27,×,45.0,45.0,,,,6000.0,,,,
,,25105621000,15.0,,2024-06-08,,ﾊﾟﾈﾘ-PV(12),,,,,,,,,,,,,,,,×,,2024-06-07,×,45.0,45.0,,,,6000.0,,,,
,,25117722830,15.0,,2024-04-08,,ﾌﾟﾚﾐｱﾑｼｮｰﾄ-ADF (S),,,,,,,,,,,,,,,,×,,2024-04-08,×,45.0,45.0,,,,6000.0,,,,
,,25117722830,15.0,,2024-04-11,,ﾌﾟﾚﾐｱﾑｼｮｰﾄ-ADF (S),,,,,,,,,,,,,,,,×,,2024-04-11,×,45.0,45.0,,,,6000.0,,,,
,,25117722830,15.0,,2024-05-10,,ﾌﾟﾚﾐｱﾑｼｮｰﾄ-ADF (S),,,,,,,,,,,,,,,,×,,2024-05-10,×,45.0,45.0,,,,6000.0,,,,
,,25117722830,15.0,,2024-04-27,,ﾌﾟﾚﾐｱﾑｼｮｰﾄ-ADF (S),,,,,,,,,,,,,,,,×,,2024-04-26,×,45.0,45.0,,,,6000.0,,,,
,,25118721810,15.0,,2024-04-11,,ﾌﾟﾚﾐｱﾑｼｮｰﾄPV-ADF(SS),,,,,,,,,,,,,準高,,,×,,2024-04-11,×,30.0,30.0,,,,4000.0,,,,
,,25118721830,15.0,,2024-04-22,,ﾌﾟﾚﾐｱﾑｼｮｰﾄPV-ADF (S),,,,,,,,,,,,,,,,×,,2024-04-22,×,45.0,45.0,,,,6000.0,,,,
