品目コード,品名,ライン,ライン名,入目,流速,テンパ品,沃素価,KI,初回限定,最終限定,ストレッチ,予定数量,納期,チケットNO,備考,生産日,順番,slot
25120028890,ﾌﾟﾚﾐｱﾑｼﾖ-ﾄ-CF(HH),1205,ＳＶ,15,8000,,,,〇,,,12700,20220621,K-202206-0073,副原料添加なし初回限定,,,
25710722000,FPｼﾖ-ﾄLT2(15K),1205,ＳＶ,15,8000,〇,,,,,,12700,20220622,K-202205-1539,,,,
25152321830,PSV(S),1205,ＳＶ,15,8000,,,,〇,,,6000,20220622,K-202205-1471,副原料添加なし初回限定,,,
25318821000,ｱ-ﾈｽﾄ,1205,ＳＶ,15,7000,,,KI(テンパー品),,,,10000,20220622,K-202205-1524,,,,
25318821000,ｱ-ﾈｽﾄ,1205,ＳＶ,15,7000,,,KI(テンパー品),,,,10000,20220622,K-202205-1525,,,,
25318821000,ｱ-ﾈｽﾄ,1205,ＳＶ,15,7000,,,KI(テンパー品),,,,10000,20220622,K-202205-1526,,,,
25316621830,ｻｸｻｸｼﾖ-ﾄﾆﾝｸﾞY(S),1205,ＳＶ,10,5400,,,,,,,6000,20220622,K-202205-1523,,,,
25132325870,ﾌﾟﾚﾐｱﾑｼﾖ-ﾄCF 10K(H),1205,ＳＶ,10,5400,,,,〇,,,12700,20220622,K-202205-1467,副原料添加なし初回限定,,,
25801321870,MB-Pｼﾖ-ﾄCF8.1K(H),1205,ＳＶ,8.1,4000,,,,〇,,,12700,20220623,K-202205-1549,副原料添加なし初回限定,,,
25719121870,ｻﾝﾄﾞｸﾘ-ﾑMTR(ｽﾄﾚﾂﾁ)H,1205,ＳＶ,15,8000,〇,,,,〇,〇,10200,20220623,K-202206-0224,MO-7S添加品,,,
25212222850,ﾁｴｽﾀ-88-TL(M),1205,ＳＶ,15,8000,〇,,,,,,6000,20220623,K-202205-1473,,,,
25120028870,ﾌﾟﾚﾐｱﾑｼﾖ-ﾄ-CF(H),1205,ＳＶ,15,8000,,,,〇,,,12700,20220623,K-202205-1462,副原料添加なし初回限定,,,
25120028830,ﾌﾟﾚﾐｱﾑｼﾖ-ﾄ-CF(S),1205,ＳＶ,15,8000,,,,〇,,,12700,20220623,K-202205-1451,副原料添加なし初回限定,,,
