繰上不可(×）,依頼日,品目コード,入目,予定数量(㎏),納期,チケットＮＯ,品名,入れ目,荷姿,SVライン,SV流量(㎏/h),SPライン,SP流量(㎏/h),アレルゲン,初回限定,最終限定,KI製品,テンパリング,窒素ガス,沃素価,バッチ制限,MO-7S配合,リパック,特記事項
,2024-04-23,25222123040,20.0,5000,20240506,,ﾆｭｰｼｮｰﾄﾆﾝｸﾞ20㎏(4),20.0,C/S,〇,"8,000",〇,"6,000",A,,,×,,〇,,,×,×,
,2024-04-23,25222123040,20.0,7500,20240506,,ﾆｭｰｼｮｰﾄﾆﾝｸﾞ20㎏(4),20.0,C/S,〇,"8,000",〇,"6,000",A,,,×,,〇,,,×,×,
,2024-04-30,25222123040,20.0,5000,20240508,,ﾆｭｰｼｮｰﾄﾆﾝｸﾞ20㎏(4),20.0,C/S,〇,"8,000",〇,"6,000",A,,,×,,〇,,,×,×,
,2024-05-08,25222123040,20.0,7500,20240515,,ﾆｭｰｼｮｰﾄﾆﾝｸﾞ20㎏(4),20.0,C/S,〇,"8,000",〇,"6,000",A,,,×,,〇,,,×,×,
,2024-05-15,25222123040,20.0,5000,20240522,,ﾆｭｰｼｮｰﾄﾆﾝｸﾞ20㎏(4),20.0,C/S,〇,"8,000",〇,"6,000",A,,,×,,〇,,,×,×,
,2024-01-31,25217922850,18.8,4000,20240224,,AP-1 (M),18.8,C/S,〇,"8,000",〇,"6,000",A,,,×,〇,,,,×,×,
,2024-04-03,25217922850,18.8,4000,20240430,,AP-1 (M),18.8,C/S,〇,"8,000",〇,"6,000",A,,,×,〇,,,,×,×,
,2024-01-31,25138421830,15.0,5000,20240224,,ISｼｮｰﾄﾆﾝｸﾞ(S),15.0,C/S,〇,"8,000",〇,"6,000",A,,,×,,〇,準高,,×,×,底ﾊﾟｯﾄﾞ敷あり｡公出時生産不可｡
,2024-02-14,25138421830,15.0,5000,20240228,,ISｼｮｰﾄﾆﾝｸﾞ(S),15.0,C/S,〇,"8,000",〇,"6,000",A,,,×,,〇,準高,,×,×,底ﾊﾟｯﾄﾞ敷あり｡公出時生産不可｡
,2024-03-04,25138421830,15.0,5000,20240330,,ISｼｮｰﾄﾆﾝｸﾞ(S),15.0,C/S,〇,"8,000",〇,"6,000",A,,,×,,〇,準高,,×,×,底ﾊﾟｯﾄﾞ敷あり｡公出時生産不可｡
,2024-04-03,25138421830,15.0,5000,20240426,,ISｼｮｰﾄﾆﾝｸﾞ(S),15.0,C/S,〇,"8,000",〇,"6,000",A,,,×,,〇,準高,,×,×,底ﾊﾟｯﾄﾞ敷あり｡公出時生産不可｡
,2024-01-31,25805121000,15.0,5000,20240216,,MB-ﾓ-ｾﾞﾙSC,15.0,C/S,〇,8000,×,-,A,,,×,〇,,高,,,,
,2024-02-02,25719621870,15.0,9000,20240304,,AKK-Ⅱ(H),15.0,C/S,〇,"8,000",〇,"6,000",A,,,×,,,低,,×,×,
,2024-05-17,25719621870,15.0,9000,20240610,,AKK-Ⅱ(H),15.0,C/S,〇,"8,000",〇,"6,000",A,,,×,,,低,,×,×,
