品目コード,品名,ライン,ライン名,入目,流速,テンパ品,沃素価,KI,初回限定,最終限定,ストレッチ,予定数量,納期,チケットNO,備考,生産日,順番,slot,nouki_copy
25308522830,LTｼﾖ-ﾄﾆﾝｸﾞ(19.2K)(S),1205,ＳＶ,15.0,8000,,,,,,,12700,2022-06-20,K-202205-1522,,2022-06-16,3,2022-06-16 10:51:00-->2022-06-16 12:27:00,2022-06-20
25804121000,MB-BSｸﾘ-ﾑ-3(16.5K),1205,ＳＶ,16.5,8000,,,,,,,12700,2022-06-20,K-202205-0992,,2022-06-16,4,2022-06-16 12:47:00-->2022-06-16 14:23:00,2022-06-20
25249621000,ｸｯｷｰｼｮｰﾄﾆﾝｸﾞ,1205,ＳＶ,15.0,8000,,,,,,,12700,2022-06-20,K-202205-1507,,2022-06-16,5,2022-06-16 14:43:00-->2022-06-16 16:19:00,2022-06-20
25804821000,MB-ｻﾝﾄﾞｼﾖ-ﾄDX-TL(H),1205,ＳＶ,15.0,8000,〇,,,,,,12700,2022-06-18,K-202205-1494,,2022-06-16,6,2022-06-16 16:39:00-->2022-06-16 18:15:00,2022-06-17
25804821000,MB-ｻﾝﾄﾞｼﾖ-ﾄDX-TL(H),1205,ＳＶ,15.0,8000,〇,,,,,,12700,2022-06-18,K-202205-1493,,2022-06-16,7,2022-06-16 18:35:00-->2022-06-16 20:11:00,2022-06-17
25230924850,ﾁｴｽﾀ-2000 10K (M),1205,ＳＶ,10.0,5400,〇,,,,,,4000,2022-06-18,K-202206-0061,,2022-06-16,8,2022-06-16 20:31:00-->2022-06-16 21:16:00,2022-06-17
25212222850,ﾁｴｽﾀ-88-TL(M),1205,ＳＶ,15.0,8000,〇,,,,,,6000,2022-06-23,K-202205-1473,,2022-06-16,9,2022-06-16 21:36:00-->2022-06-16 22:21:00,2022-06-22
25317521870,ｼﾖ-ﾄﾆﾝｸﾞYA-III(H),1205,ＳＶ,15.0,8000,,,,〇,,,12700,2022-06-20,K-202205-0885,副原料添加なし初回限定,2022-06-17,1,2022-06-17 07:20:00-->2022-06-17 08:56:00,2022-06-20
25120028870,ﾌﾟﾚﾐｱﾑｼﾖ-ﾄ-CF(H),1205,ＳＶ,15.0,8000,,,,〇,,,12700,2022-06-20,K-202205-1461,副原料添加なし初回限定,2022-06-17,2,2022-06-17 09:16:00-->2022-06-17 10:52:00,2022-06-20
25120028830,ﾌﾟﾚﾐｱﾑｼﾖ-ﾄ-CF(S),1205,ＳＶ,15.0,8000,,,,〇,,,12700,2022-06-20,K-202205-1449,副原料添加なし初回限定,2022-06-17,3,2022-06-17 11:12:00-->2022-06-17 12:48:00,2022-06-20
25710721000,FPｼｮｰﾄLT2,1205,ＳＶ,15.0,8000,〇,,,,,〇,12200,2022-06-24,K-202206-0302,,2022-06-17,4,2022-06-17 13:08:00-->2022-06-17 14:40:00,2022-06-17
25249621000,ｸｯｷｰｼｮｰﾄﾆﾝｸﾞ,1205,ＳＶ,15.0,8000,,,,,,,12700,2022-06-20,K-202205-1508,,2022-06-17,5,2022-06-17 15:00:00-->2022-06-17 16:36:00,2022-06-20
26611121000,ｸﾗｳﾝﾗ-ﾄﾞ#100K(ﾀﾞﾝ),1205,ＳＶ,15.0,8000,,,,,,,12700,2022-06-20,K-202205-1552,,2022-06-17,6,2022-06-17 16:56:00-->2022-06-17 18:32:00,2022-06-20
25710722000,FPｼﾖ-ﾄLT2(15K),1205,ＳＶ,15.0,8000,〇,,,,,,12700,2022-06-22,K-202205-1539,,2022-06-17,7,2022-06-17 18:52:00-->2022-06-17 20:28:00,2022-06-21
25710721000,FPｼｮｰﾄLT2,1205,ＳＶ,15.0,8000,〇,,,,,〇,12700,2022-06-28,K-202205-1535,,2022-06-17,8,2022-06-17 20:48:00-->2022-06-17 22:24:00,2022-06-21
25801321870,MB-Pｼﾖ-ﾄCF8.1K(H),1205,ＳＶ,8.1,4000,,,,〇,,,12700,2022-06-21,K-202205-1548,副原料添加なし初回限定,2022-06-20,1,2022-06-20 07:20:00-->2022-06-20 10:31:00,2022-06-21
25120028890,ﾌﾟﾚﾐｱﾑｼﾖ-ﾄ-CF(HH),1205,ＳＶ,15.0,8000,,,,〇,,,12700,2022-06-21,K-202206-0073,副原料添加なし初回限定,2022-06-20,2,2022-06-20 10:51:00-->2022-06-20 12:27:00,2022-06-21
25152321830,PSV(S),1205,ＳＶ,15.0,8000,,,,〇,,,6000,2022-06-22,K-202205-1471,副原料添加なし初回限定,2022-06-20,3,2022-06-20 12:47:00-->2022-06-20 13:32:00,2022-06-22
25132325870,ﾌﾟﾚﾐｱﾑｼﾖ-ﾄCF 10K(H),1205,ＳＶ,10.0,5400,,,,〇,,,12700,2022-06-22,K-202205-1467,副原料添加なし初回限定,2022-06-20,4,2022-06-20 13:52:00-->2022-06-20 16:14:00,2022-06-22
25244422870,ｲﾄｳIK-NT(H),1205,ＳＶ,15.0,8000,,,,,,,12700,2022-06-20,K-202205-1501,,2022-06-20,5,2022-06-20 16:34:00-->2022-06-20 18:10:00,2022-06-20
25299021000,ｼｮｰﾄﾆﾝｸﾞLO-T2,1205,ＳＶ,15.0,8000,,,,,,,12700,2022-06-20,K-202205-0729,,2022-06-20,6,2022-06-20 18:30:00-->2022-06-20 20:06:00,2022-06-20
25278021870,ﾊｲDXﾌｱﾂﾄ(H),1205,ＳＶ,15.0,8000,〇,,,,〇,,12700,2022-06-21,K-202206-0123,MO-7S添加品,2022-06-20,7,2022-06-20 20:26:00-->2022-06-20 22:02:00,2022-06-20
25318821000,ｱ-ﾈｽﾄ,1205,ＳＶ,15.0,7000,,,KI(テンパー品),,,,10000,2022-06-22,K-202205-1524,,2022-06-21,1,2022-06-21 07:20:00-->2022-06-21 08:46:00,2022-06-22
25318821000,ｱ-ﾈｽﾄ,1205,ＳＶ,15.0,7000,,,KI(テンパー品),,,,10000,2022-06-22,K-202205-1525,,2022-06-21,2,2022-06-21 09:06:00-->2022-06-21 10:32:00,2022-06-22
25318821000,ｱ-ﾈｽﾄ,1205,ＳＶ,15.0,7000,,,KI(テンパー品),,,,10000,2022-06-22,K-202205-1526,,2022-06-21,3,2022-06-21 10:52:00-->2022-06-21 12:18:00,2022-06-22
25232924850,NCｼﾖ-ﾄ(DIR)(M),1205,ＳＶ,15.0,8000,,,,,,,12700,2022-06-21,K-202205-1491,,2022-06-21,4,2022-06-21 13:38:00-->2022-06-21 15:14:00,2022-06-21
25299921050,PVｼﾖ-ﾄ(B)-AK(5),1205,ＳＶ,15.0,8000,,,,,,,12700,2022-06-21,K-202206-0062,,2022-06-21,5,2022-06-21 15:34:00-->2022-06-21 17:10:00,2022-06-21
25245322000,ｲﾄｳCC-NT,1205,ＳＶ,15.0,8000,,,,,,,12700,2022-06-21,K-202206-0217,,2022-06-21,6,2022-06-21 17:30:00-->2022-06-21 19:06:00,2022-06-21
25710722000,FPｼﾖ-ﾄLT2(15K),1205,ＳＶ,15.0,8000,〇,,,,,,12700,2022-06-27,K-202205-1540,,2022-06-21,7,2022-06-21 19:26:00-->2022-06-21 21:02:00,2022-06-24
25719121850,ｻﾝﾄﾞｸﾘ-ﾑMTR(ｽﾄﾚﾂﾁ)M,1205,ＳＶ,15.0,8000,〇,,,,〇,〇,11600,2022-07-01,K-202206-0225,MO-7S添加品,2022-06-21,8,2022-06-21 21:22:00-->2022-06-21 22:49:00,2022-06-24
25801321870,MB-Pｼﾖ-ﾄCF8.1K(H),1205,ＳＶ,8.1,4000,,,,〇,,,12700,2022-06-23,K-202205-1549,副原料添加なし初回限定,2022-06-22,1,2022-06-22 07:20:00-->2022-06-22 10:31:00,2022-06-23
