品目コード,品名,ライン,ライン名,入目,流速,テンパ品,沃素価,KI,初回限定,最終限定,ストレッチ,予定数量,納期,チケットNO,備考,生産日,順番,slot,nouki_copy
25804821000,MB-ｻﾝﾄﾞｼﾖ-ﾄDX-TL(H),1205,ＳＶ,15.0,8000,〇,,,,,,12700,2022-06-18,K-202205-1494,,2022-06-16 00:00:00,4,2022-06-16 14:46:00-->2022-06-16 16:22:00,2022-06-17
25226125020,ｱﾒﾘｶｰﾅDX*(15K),1205,ＳＶ,15.0,8000,,,,,,,12700,2022-06-18,K-202205-1488,,2022-06-16 00:00:00,5,2022-06-16 16:42:00-->2022-06-16 18:18:00,2022-06-17
25308522830,LTｼﾖ-ﾄﾆﾝｸﾞ(19.2K)(S),1205,ＳＶ,15.0,8000,,,,,,,12700,2022-06-20,K-202205-1522,,2022-06-16 00:00:00,6,2022-06-16 18:38:00-->2022-06-16 20:14:00,2022-06-20
25804121000,MB-BSｸﾘ-ﾑ-3(16.5K),1205,ＳＶ,16.5,8000,,,,,,,12700,2022-06-20,K-202205-0992,,2022-06-16 00:00:00,7,2022-06-16 20:34:00-->2022-06-16 22:10:00,2022-06-20
25719121870,ｻﾝﾄﾞｸﾘ-ﾑMTR(ｽﾄﾚﾂﾁ)H,1205,ＳＶ,15.0,8000,〇,,,,〇,〇,10200,2022-06-23,K-202206-0224,MO-7S添加品,2022-06-16 00:00:00,8,2022-06-16 21:15:00-->2022-06-16 22:32:00,2022-06-16
25317521870,ｼﾖ-ﾄﾆﾝｸﾞYA-III(H),1205,ＳＶ,15.0,8000,,,,〇,,,12700,2022-06-20,K-202205-0885,副原料添加なし初回限定,2022-06-17 00:00:00,1,2022-06-17 07:20:00-->2022-06-17 08:56:00,2022-06-20
25120028870,ﾌﾟﾚﾐｱﾑｼﾖ-ﾄ-CF(H),1205,ＳＶ,15.0,8000,,,,〇,,,12700,2022-06-20,K-202205-1461,副原料添加なし初回限定,2022-06-17 00:00:00,2,2022-06-17 09:16:00-->2022-06-17 10:52:00,2022-06-20
25120028830,ﾌﾟﾚﾐｱﾑｼﾖ-ﾄ-CF(S),1205,ＳＶ,15.0,8000,,,,〇,,,12700,2022-06-20,K-202205-1449,副原料添加なし初回限定,2022-06-17 00:00:00,3,2022-06-17 12:30:00-->2022-06-17 14:26:00,2022-06-20
25804821000,MB-ｻﾝﾄﾞｼﾖ-ﾄDX-TL(H),1205,ＳＶ,15.0,8000,〇,,,,,,12700,2022-06-18,K-202205-1493,,2022-06-17 00:00:00,4,2022-06-17 14:46:00-->2022-06-17 16:22:00,2022-06-17
25710721000,FPｼｮｰﾄLT2,1205,ＳＶ,15.0,8000,〇,,,,,〇,12200,2022-06-24,K-202206-0302,,2022-06-17 00:00:00,5,2022-06-17 16:42:00-->2022-06-17 18:14:00,2022-06-17
25249621000,ｸｯｷｰｼｮｰﾄﾆﾝｸﾞ,1205,ＳＶ,15.0,8000,,,,,,,12700,2022-06-20,K-202205-1507,,2022-06-17 00:00:00,6,2022-06-17 18:34:00-->2022-06-17 20:10:00,2022-06-20
25710722000,FPｼﾖ-ﾄLT2(15K),1205,ＳＶ,15.0,8000,〇,,,,,,12700,2022-06-22,K-202205-1539,,2022-06-17 00:00:00,7,2022-06-17 20:30:00-->2022-06-17 22:06:00,2022-06-21
25719621870,AKK-Ⅱ(H),1205,ＳＶ,15.0,8000,,低沃素価,,,,,6000,2022-06-18,K-202206-0220,,2022-06-14 00:00:00,7,2022-06-14 20:25:00-->2022-06-14 21:10:00,2022-06-17
25801321870,MB-Pｼﾖ-ﾄCF8.1K(H),1205,ＳＶ,8.1,4000,,,,〇,,,12700,2022-06-21,K-202205-1548,副原料添加なし初回限定,2022-06-20 00:00:00,1,2022-06-20 07:20:00-->2022-06-20 10:31:00,2022-06-21
25244422870,ｲﾄｳIK-NT(H),1205,ＳＶ,15.0,8000,,,,,,,12700,2022-06-20,K-202205-1501,,2022-06-20 00:00:00,2,2022-06-20 12:30:00-->2022-06-20 14:26:00,2022-06-20
25249621000,ｸｯｷｰｼｮｰﾄﾆﾝｸﾞ,1205,ＳＶ,15.0,8000,,,,,,,12700,2022-06-20,K-202205-1508,,2022-06-20 00:00:00,3,2022-06-20 14:46:00-->2022-06-20 16:22:00,2022-06-20
26611121000,ｸﾗｳﾝﾗ-ﾄﾞ#100K(ﾀﾞﾝ),1205,ＳＶ,15.0,8000,,,,,,,12700,2022-06-20,K-202205-1552,,2022-06-20 00:00:00,4,2022-06-20 16:42:00-->2022-06-20 18:18:00,2022-06-20
25299021000,ｼｮｰﾄﾆﾝｸﾞLO-T2,1205,ＳＶ,15.0,8000,,,,,,,12700,2022-06-20,K-202205-0729,,2022-06-20 00:00:00,5,2022-06-20 18:38:00-->2022-06-20 20:14:00,2022-06-20
25212222850,ﾁｴｽﾀ-88-TL(M),1205,ＳＶ,15.0,8000,〇,,,,,,6000,2022-06-23,K-202205-1473,,2022-06-20 00:00:00,6,2022-06-20 20:34:00-->2022-06-20 21:19:00,2022-06-22
25278021870,ﾊｲDXﾌｱﾂﾄ(H),1205,ＳＶ,15.0,8000,〇,,,,〇,,12700,2022-06-21,K-202206-0123,MO-7S添加品,,,,2022-06-20
25120028890,ﾌﾟﾚﾐｱﾑｼﾖ-ﾄ-CF(HH),1205,ＳＶ,15.0,8000,,,,〇,,,12700,2022-06-21,K-202206-0073,副原料添加なし初回限定,2022-06-21 00:00:00,1,2022-06-21 07:20:00-->2022-06-21 08:56:00,2022-06-21
25152321830,PSV(S),1205,ＳＶ,15.0,8000,,,,〇,,,6000,2022-06-22,K-202205-1471,副原料添加なし初回限定,2022-06-21 00:00:00,2,2022-06-21 09:16:00-->2022-06-21 10:01:00,2022-06-22
25132325870,ﾌﾟﾚﾐｱﾑｼﾖ-ﾄCF 10K(H),1205,ＳＶ,10.0,5400,,,,〇,,,12700,2022-06-22,K-202205-1467,副原料添加なし初回限定,2022-06-21 00:00:00,3,2022-06-21 12:30:00-->2022-06-21 15:12:00,2022-06-22
25232924850,NCｼﾖ-ﾄ(DIR)(M),1205,ＳＶ,15.0,8000,,,,,,,12700,2022-06-21,K-202205-1491,,2022-06-21 00:00:00,4,2022-06-21 15:32:00-->2022-06-21 17:08:00,2022-06-21
25299921050,PVｼﾖ-ﾄ(B)-AK(5),1205,ＳＶ,15.0,8000,,,,,,,12700,2022-06-21,K-202206-0062,,2022-06-21 00:00:00,5,2022-06-21 17:28:00-->2022-06-21 19:04:00,2022-06-21
25245322000,ｲﾄｳCC-NT,1205,ＳＶ,15.0,8000,,,,,,,12700,2022-06-21,K-202206-0217,,2022-06-21 00:00:00,6,2022-06-21 19:24:00-->2022-06-21 21:00:00,2022-06-21
25710721000,FPｼｮｰﾄLT2,1205,ＳＶ,15.0,8000,〇,,,,,〇,12700,2022-06-28,K-202205-1535,,2022-06-21 00:00:00,7,2022-06-21 21:20:00-->2022-06-21 22:56:00,2022-06-21
