品目コード,ライン,入目,流速,予定数量(㎏),納期,チケットNO,備考,生産日,順番,slot,nouki_copy,SP_time_taken,SV_time_taken,SP_rate/hr,SV_rate/hr,品名,入れ目,荷姿,SVライン,SV流量(㎏/h),SPライン,SP流量(㎏/h),アレルゲン,初回限定,最終限定,KI製品,テンパリング,窒素ガス,沃素価,バッチ制限,MO-7S配合,リパック,特記事項
25566421000,,15.0,,12700,2024-03-12,,,2024-03-12,4,2024-03-12 13:39:00-->2024-03-12 15:15:00,2024-03-12,153,96,"5,000","8,000",FCショートニング,15.0,C/S,〇,"8,000",〇,"5,000",A,,,×,,〇,,,×,×,
25566421000,,15.0,,12700,2024-03-19,,,2024-03-15,7,2024-03-15 17:42:00-->2024-03-15 19:18:00,2024-03-19,153,96,"5,000","8,000",FCショートニング,15.0,C/S,〇,"8,000",〇,"5,000",A,,,×,,〇,,,×,×,
25282821000,,15.0,,10000,2024-03-07,,,2024-03-07,5,2024-03-07 13:45:00-->2024-03-07 15:00:00,2024-03-07,100,75,"6,000","8,000",ﾘｽｵｲﾙ,15.0,C/S,〇,"8,000",〇,"6,000",A,,,×,,,,,×,×,
25804821000,,15.0,,12700,2024-03-11,,,2024-03-07,7,2024-03-07 18:51:00-->2024-03-07 20:27:00,2024-03-08,123,96,"6,200","8,000",MB-ｻﾝﾄﾞｼﾖ-ﾄDX-TL(H),15.0,C/S,〇,"8,000",〇,"6,200",A,,,×,〇,,,,×,×,
25716121850,,15.0,,10000,2024-03-11,,,2024-03-08,1,2024-03-08 07:20:00-->2024-03-08 08:46:00,2024-03-11,0,86,-,"7,000",ｼﾞｴﾐﾆNTR(M),15.0,C/S,〇,"7,000",×,-,A,,,○,,,,,×,×,
25716121850,,15.0,,10000,2024-03-18,,,2024-03-15,1,2024-03-15 07:20:00-->2024-03-15 08:46:00,2024-03-18,0,86,-,"7,000",ｼﾞｴﾐﾆNTR(M),15.0,C/S,〇,"7,000",×,-,A,,,○,,,,,×,×,
25761221000,,15.0,,10000,2024-03-11,,,2024-03-08,2,2024-03-08 09:06:00-->2024-03-08 10:26:00,2024-03-11,0,80,-,"7,500",ﾌｱﾝﾄﾑ950N,15.0,C/S,〇,"7,500",×,-,A,,,○,,,,,×,×,
25306521830,,10.0,,12700,2024-03-09,,,2024-03-08,3,2024-03-08 11:56:00-->2024-03-08 14:18:00,2024-03-08,189,142,"4,050","5,400",ﾘｽﾌﾚ-ﾃSP-Ⅱ(S),10.0,C/S,〇,"5,400",〇,"4,050",A,,,×,,〇,,,×,×,
25306521830,,10.0,,12700,2024-03-18,,,2024-03-14,6,2024-03-14 15:43:00-->2024-03-14 18:05:00,2024-03-18,189,142,"4,050","5,400",ﾘｽﾌﾚ-ﾃSP-Ⅱ(S),10.0,C/S,〇,"5,400",〇,"4,050",A,,,×,,〇,,,×,×,
25117722830,,15.0,,6000,2024-03-11,,,2024-03-08,4,2024-03-08 14:38:00-->2024-03-08 15:23:00,2024-03-11,60,45,"6,000","8,000",ﾌﾟﾚﾐｱﾑｼﾖ-ﾄ-ADF (S),15.0,C/S,〇,"8,000",〇,"6,000",A,,,×,,〇,,,×,×,
25294121810,,15.0,,12700,2024-03-11,,ｽﾃｲﾔｰｼﾘｰｽﾞ計画順番 ； STｼｮｰﾄ → ｽﾃｲﾔｰﾃﾞﾗｯｸｽK → ｽﾃｲﾔｰｽﾍﾟｼｬﾙ/ｱｺﾙﾄ → ｽﾃｲﾔｰSA,2024-03-08,5,2024-03-08 15:43:00-->2024-03-08 17:41:00,2024-03-11,127,118,"6,000","6,500",ｽﾃｲﾔ-ｽﾍﾟｼﾔﾙ(SS),15.0,C/S,〇,"6,500",〇,"6,000",A,,〇,×,,〇,準高,,×,×,ｽﾃｲﾔｰｼﾘｰｽﾞ計画順番 ； STｼｮｰﾄ → ｽﾃｲﾔｰﾃﾞﾗｯｸｽK → ｽﾃｲﾔｰｽﾍﾟｼｬﾙ/ｱｺﾙﾄ → ｽﾃｲﾔｰSA
25326721000,,15.0,,24000,2024-03-11,,次ﾊﾞｯﾁｲﾄｳIK-NTを必ず組むこと｡,2024-03-11,1,2024-03-11 07:20:00-->2024-03-11 10:20:00,2024-03-11,249,180,"5,800","8,000",MCｼﾖ-ﾄ(F),15.0,C/S,〇,"8,000",〇,"5,800",A,〇,,×,,〇,,2.0,×,×,次ﾊﾞｯﾁｲﾄｳIK-NTを必ず組むこと。
25224321040,,15.0,,12700,2024-03-11,,,2024-03-11,4,2024-03-11 13:41:00-->2024-03-11 15:23:00,2024-03-11,142,102,"5,400","7,500",PVｼﾖ-ﾄ(B) (4),15.0,C/S,〇,"7,500",〇,"5,400",A,,,×,,〇,,,×,×,
25224321040,,15.0,,12700,2024-03-14,,,2024-03-13,4,2024-03-13 15:28:00-->2024-03-13 17:10:00,2024-03-14,142,102,"5,400","7,500",PVｼﾖ-ﾄ(B) (4),15.0,C/S,〇,"7,500",〇,"5,400",A,,,×,,〇,,,×,×,
25224321040,,15.0,,12700,2024-03-21,,,2024-03-15,5,2024-03-15 14:15:00-->2024-03-15 15:57:00,2024-03-21,142,102,"5,400","7,500",PVｼﾖ-ﾄ(B) (4),15.0,C/S,〇,"7,500",〇,"5,400",A,,,×,,〇,,,×,×,
25225621870,,15.0,,6000,2024-03-11,,,2024-03-11,5,2024-03-11 15:43:00-->2024-03-11 16:28:00,2024-03-11,60,45,"6,000","8,000",PVｼﾖ-ﾄEG(H),15.0,C/S,〇,"8,000",〇,"6,000",A,,,×,,〇,,,×,×,
25232924850,,15.0,,12700,2024-03-11,,,2024-03-11,6,2024-03-11 16:48:00-->2024-03-11 18:24:00,2024-03-11,127,96,"6,000","8,000",NCｼﾖ-ﾄ(DIR)(M),15.0,C/S,〇,"8,000",〇,"6,000",A,,,×,,〇,,,×,×,
25711121360,,15.0,,6000,2024-03-11,,,2024-03-11,8,2024-03-11 20:40:00-->2024-03-11 21:25:00,2024-03-11,60,45,"6,000","8,000",ﾓ-ｾﾞﾙBU(36℃),15.0,C/S,〇,"8,000",〇,"6,000",A,,,×,,〇,低,,×,×,
25286621830,,15.0,,12700,2024-03-15,,副原料無添,2024-03-12,1,2024-03-12 07:20:00-->2024-03-12 09:27:00,2024-03-15,191,127,"4,000","6,000",EZｼﾖ-ﾄﾆﾝｸﾞ(S),15.0,C/S,〇,"6,000",〇,"4,000",A,〇,,×,,〇,,,×,×,副原料無添加品。次ﾊﾞｯﾁ無添加品の初回限定品は連続生産可能。
25230924850,,10.0,,6000,2024-03-18,,,2024-03-12,5,2024-03-12 15:35:00-->2024-03-12 16:42:00,2024-03-15,75,67,"4,800","5,400",ﾁｴｽﾀ-2000 10K (M),10.0,C/S,〇,"5,400",〇,"4,800",A,,,×,〇,〇,,,×,×,
25126221000,,15.0,,12700,2024-03-12,,ｽﾃｲﾔｰｼﾘｰｽﾞ計画順番 ； STｼｮｰﾄ → ｽﾃｲﾔｰﾃﾞﾗｯｸｽK → ｽﾃｲﾔｰｽﾍﾟｼｬﾙ/ｱｺﾙﾄ → ｽﾃｲﾔｰSA,2024-03-12,7,2024-03-12 18:29:00-->2024-03-12 20:27:00,2024-03-12,127,118,"6,000","6,500",ｽﾃｲﾔ-SA,15.0,C/S,〇,"6,500",〇,"6,000",A,,〇,×,,〇,高,,×,×,ｽﾃｲﾔｰｼﾘｰｽﾞ計画順番 ； STｼｮｰﾄ → ｽﾃｲﾔｰﾃﾞﾗｯｸｽK → ｽﾃｲﾔｰｽﾍﾟｼｬﾙ/ｱｺﾙﾄ → ｽﾃｲﾔｰSA
25217722000,,18.0,,12700,2024-03-20,,底ﾊﾟｯﾄﾞ敷あり｡公出時生産不可｡,2024-03-13,2,2024-03-13 12:36:00-->2024-03-13 14:12:00,2024-03-19,127,96,"6,000","8,000",ﾁｪｽﾀ-LPV-TL2(18K),18.0,C/S,〇,"8,000",〇,"6,000",A,,,×,〇,〇,,,×,×,底パッド敷あり。公出時生産不可。
25213124040,,12.7,,4000,2024-03-20,,,2024-03-13,3,2024-03-13 14:32:00-->2024-03-13 15:08:00,2024-03-19,40,36,"6,000","6,800",ﾁｴｽﾀ- 88(12.7K)(4),12.7,C/S,〇,"6,800",〇,"6,000",A,,,×,〇,〇,,,×,×,
25299021000,,15.0,,12700,2024-03-16,,,2024-03-13,5,2024-03-13 17:40:00-->2024-03-13 19:16:00,2024-03-15,127,96,"6,000","8,000",ｼｮ-ﾄﾆﾝｸﾞLO-T2,15.0,C/S,〇,"8,000",〇,"6,000",A,,,×,,,,,×,×,
25217621380,,15.0,,12700,2024-03-16,,,2024-03-13,6,2024-03-13 19:46:00-->2024-03-13 21:22:00,2024-03-15,127,96,"6,000","8,000",ｻﾝﾄﾞｼﾖ-ﾄNT (38ﾟC),15.0,C/S,〇,"8,000",〇,"6,000",A,,,×,,〇,低,,×,×,
25222522060,,20.0,,5000,2024-03-21,,,2024-03-14,1,2024-03-14 07:20:00-->2024-03-14 07:58:00,2024-03-20,56,38,"5,400","8,000",ﾊﾟﾈﾘ-ｼﾖ-ﾄST-2-TL(38),20.0,C/S,〇,"8,000",〇,"5,400",A,,,×,〇,〇,,,×,×,
25225621850,,15.0,,12700,2024-03-18,,,2024-03-14,4,2024-03-14 11:31:00-->2024-03-14 13:07:00,2024-03-18,127,96,"6,000","8,000",PVｼﾖ-ﾄEG(M),15.0,C/S,〇,"8,000",〇,"6,000",A,,,×,,〇,,,×,×,
25226125020,,15.0,,12700,2024-03-18,,,2024-03-14,5,2024-03-14 13:37:00-->2024-03-14 15:13:00,2024-03-18,132,96,"5,800","8,000",ｱﾒﾘｶ-ﾅDX*(15K),15.0,C/S,〇,"8,000",〇,"5,800",A,,,×,,,,,×,×,
25719121850,,15.0,,12700,2024-03-18,,ﾊｲDXﾌｧｯﾄ→ｻﾝﾄﾞｸﾘｰﾑMTR→ﾏｲﾙﾄﾞﾌｧｯﾄDXの順で連続可能｡,2024-03-14,7,2024-03-14 18:25:00-->2024-03-14 20:58:00,2024-03-15,127,153,"6,000","5,000",ｻﾝﾄﾞｸﾘ-ﾑMTR(ｽﾄﾚﾂﾁ)M,15.0,C/S,〇,"5,000",〇,"6,000",A,,〇,×,〇,〇,,,○,○,ﾊｲDXﾌｧｯﾄ→ｻﾝﾄﾞｸﾘｰﾑMTR→ﾏｲﾙﾄﾞﾌｧｯﾄDXの順で連続可能。
25213221830,,15.0,,6000,2024-03-22,,,2024-03-15,2,2024-03-15 10:16:00-->2024-03-15 11:01:00,2024-03-21,60,45,"6,000","8,000",ﾁｴｽﾀ-77(M),15.0,C/S,〇,"8,000",〇,"6,000",A,,,×,〇,〇,,,×,×,
25804121000,,16.5,,12700,2024-03-18,,,2024-03-15,3,2024-03-15 11:21:00-->2024-03-15 12:57:00,2024-03-18,127,96,"6,000","8,000",MB-BSｸﾘ-ﾑ-3(16.5K),16.5,C/S,〇,"8,000",〇,"6,000",A,,,×,,〇,,,×,×,
25222123040,,20.0,,5000,2024-03-21,,,2024-03-15,4,2024-03-15 13:17:00-->2024-03-15 13:55:00,2024-03-21,50,38,"6,000","8,000",ﾆｭｰｼｮｰﾄﾆﾝｸﾞ20㎏(4),20.0,C/S,〇,"8,000",〇,"6,000",A,,,×,,〇,,,×,×,
25220821830,,15.0,,4000,2024-03-21,,,2024-03-15,8,2024-03-15 19:38:00-->2024-03-15 20:08:00,2024-03-21,48,30,"5,000","8,000",PVｼﾖ-ﾄ(B)-L (S),15.0,C/S,〇,"8,000",〇,"5,000",A,,,×,,〇,,,×,×,
