品目コード,品名,ライン,ライン名,入目,流速,テンパリング,沃素価,KI,初回限定,最終限定,ストレッチ,予定数量,納期,チケットNO,備考,生産日,順番,slot,nouki_copy,窒素ガス,KI製品,MO-7S配合,アレルゲン
25710722000,FPｼﾖ-ﾄLT2(15K),1205,ＳＶ,15.0,8000,〇,,,,,,12700,2022-06-22,K-202205-1539,,2022-06-17,6,2022-06-17 17:20:00-->2022-06-17 18:56:00,2022-06-21,〇,×,×,A
26611121000,ｸﾗｳﾝﾗ-ﾄﾞ#100K(ﾀﾞﾝ),1205,ＳＶ,15.0,8000,,,,,,,12700,2022-06-20,K-202205-1552,,2022-06-17,7,2022-06-17 19:26:00-->2022-06-17 21:02:00,2022-06-20,,×,×,A
25120028870,ﾌﾟﾚﾐｱﾑｼﾖ-ﾄ-CF(H),1205,ＳＶ,15.0,8000,,,,〇,,,12700,2022-06-23,K-202205-1462,副原料添加なし初回限定,2022-06-20,1,2022-06-20 07:20:00-->2022-06-20 08:56:00,2022-06-23,〇,×,×,A
25120028830,ﾌﾟﾚﾐｱﾑｼﾖ-ﾄ-CF(S),1205,ＳＶ,15.0,8000,,,,〇,,,12700,2022-06-23,K-202205-1451,副原料添加なし初回限定,2022-06-20,2,2022-06-20 09:16:00-->2022-06-20 10:52:00,2022-06-23,〇,×,×,A
25120028830,ﾌﾟﾚﾐｱﾑｼﾖ-ﾄ-CF(S),1205,ＳＶ,15.0,8000,,,,〇,,,12700,2022-06-23,K-202205-1453,副原料添加なし初回限定,2022-06-20,3,2022-06-20 11:12:00-->2022-06-20 12:48:00,2022-06-23,〇,×,×,A
25244422870,ｲﾄｳIK-NT(H),1205,ＳＶ,15.0,8000,,,,,,,12700,2022-06-20,K-202205-1501,,2022-06-20,4,2022-06-20 13:08:00-->2022-06-20 14:44:00,2022-06-20,〇,×,×,A
25308522830,LTｼﾖ-ﾄﾆﾝｸﾞ(19.2K)(S),1205,ＳＶ,15.0,8000,,,,,,,12700,2022-06-20,K-202205-1522,,2022-06-20,5,2022-06-20 15:04:00-->2022-06-20 16:40:00,2022-06-20,〇,×,×,A
25804121000,MB-BSｸﾘ-ﾑ-3(16.5K),1205,ＳＶ,16.5,8000,,,,,,,12700,2022-06-20,K-202205-0992,,2022-06-20,6,2022-06-20 17:00:00-->2022-06-20 18:36:00,2022-06-20,〇,×,×,A
25299021000,ｼｮ-ﾄﾆﾝｸﾞLO-T2,1205,ＳＶ,15.0,8000,,,,,,,12700,2022-06-20,K-202205-0729,,2022-06-20,7,2022-06-20 19:06:00-->2022-06-20 20:42:00,2022-06-20,,×,×,A
25278021870,ﾊｲDXﾌｱﾂﾄ(H),1205,ＳＶ,15.0,8000,〇,,,,〇,,12700,2022-06-21,K-202206-0123,MO-7S添加品,2022-06-20,8,2022-06-20 21:12:00-->2022-06-20 22:48:00,2022-06-20,〇,×,○,A
25120028830,ﾌﾟﾚﾐｱﾑｼﾖ-ﾄ-CF(S),1205,ＳＶ,15.0,8000,,,,〇,,,12700,2022-06-23,K-202205-1452,副原料添加なし初回限定,2022-06-21,1,2022-06-21 07:20:00-->2022-06-21 08:56:00,2022-06-23,〇,×,×,A
25132325870,ﾌﾟﾚﾐｱﾑｼﾖ-ﾄCF 10K(H),1205,ＳＶ,10.0,5400,,,,〇,,,12700,2022-06-22,K-202205-1467,副原料添加なし初回限定,2022-06-21,2,2022-06-21 09:16:00-->2022-06-21 11:38:00,2022-06-22,〇,×,×,A
25120028890,ﾌﾟﾚﾐｱﾑｼﾖ-ﾄ-CF(HH),1205,ＳＶ,15.0,8000,,,,〇,,,12700,2022-06-21,K-202206-0073,副原料添加なし初回限定,2022-06-21,3,2022-06-21 11:58:00-->2022-06-21 13:34:00,2022-06-21,〇,×,×,A
25152321830,PSV(S),1205,ＳＶ,15.0,8000,,,,〇,,,6000,2022-06-22,K-202205-1471,副原料添加なし初回限定,2022-06-21,4,2022-06-21 13:54:00-->2022-06-21 14:39:00,2022-06-22,〇,×,×,A
25232924850,NCｼﾖ-ﾄ(DIR)(M),1205,ＳＶ,15.0,8000,,,,,,,12700,2022-06-21,K-202205-1491,,2022-06-21,5,2022-06-21 14:59:00-->2022-06-21 16:35:00,2022-06-21,〇,×,×,A
25299921050,PVｼﾖ-ﾄ(B)-AK(5),1205,ＳＶ,15.0,8000,,,,,,,12700,2022-06-21,K-202206-0062,,2022-06-21,6,2022-06-21 16:55:00-->2022-06-21 18:31:00,2022-06-21,〇,×,×,A
25245322000,ｲﾄｳCC-NT,1205,ＳＶ,15.0,8000,,,,,,,12700,2022-06-21,K-202206-0217,,2022-06-21,7,2022-06-21 18:51:00-->2022-06-21 20:27:00,2022-06-21,〇,×,×,A
25710721000,FPｼｮ-ﾄLT2,1205,ＳＶ,15.0,8000,〇,,,,,〇,12700,2022-06-28,K-202205-1535,,2022-06-21,8,2022-06-21 20:47:00-->2022-06-21 22:23:00,2022-06-21,〇,×,×,A
25318821000,ｱ-ﾈｽﾄ,1205,ＳＶ,15.0,7000,,,,,,,10000,2022-06-22,K-202205-1524,,2022-06-22,1,2022-06-22 07:20:00-->2022-06-22 08:46:00,2022-06-22,,○,×,A
25318821000,ｱ-ﾈｽﾄ,1205,ＳＶ,15.0,7000,,,,,,,10000,2022-06-22,K-202205-1525,,2022-06-22,2,2022-06-22 09:06:00-->2022-06-22 10:32:00,2022-06-22,,○,×,A
25318821000,ｱ-ﾈｽﾄ,1205,ＳＶ,15.0,7000,,,,,,,10000,2022-06-22,K-202205-1526,,2022-06-22,3,2022-06-22 10:52:00-->2022-06-22 12:18:00,2022-06-22,,○,×,A
25316621830,ｻｸｻｸｼﾖ-ﾄﾆﾝｸﾞY(S),1205,ＳＶ,10.0,5400,,,,,,,6000,2022-06-22,K-202205-1523,,2022-06-22,4,2022-06-22 13:48:00-->2022-06-22 14:55:00,2022-06-22,〇,×,×,A
25212222850,ﾁｴｽﾀ-88-TL(M),1205,ＳＶ,15.0,8000,〇,,,,,,6000,2022-06-23,K-202205-1473,,2022-06-22,5,2022-06-22 15:15:00-->2022-06-22 16:00:00,2022-06-22,〇,×,×,A
25710722000,FPｼﾖ-ﾄLT2(15K),1205,ＳＶ,15.0,8000,〇,,,,,,12700,2022-06-27,K-202205-1540,,2022-06-22,6,2022-06-22 16:20:00-->2022-06-22 17:56:00,2022-06-25,〇,×,×,A
25804821000,MB-ｻﾝﾄﾞｼﾖ-ﾄDX-TL(H),1205,ＳＶ,15.0,8000,〇,,,,,,12700,2022-06-27,K-202205-1497,,2022-06-22,7,2022-06-22 18:26:00-->2022-06-22 20:02:00,2022-06-25,,×,×,A
25719121850,ｻﾝﾄﾞｸﾘ-ﾑMTR(ｽﾄﾚﾂﾁ)M,1205,ＳＶ,15.0,8000,〇,,,,〇,〇,11600,2022-07-01,K-202206-0225,MO-7S添加品,2022-06-22,8,2022-06-22 20:32:00-->2022-06-22 21:59:00,2022-06-24,〇,×,○,A
25317521870,ｼﾖ-ﾄﾆﾝｸﾞYA-III(H),1205,ＳＶ,15.0,8000,,,,〇,,,12700,2022-06-25,K-202205-0915,副原料添加なし初回限定,2022-06-23,1,2022-06-23 07:20:00-->2022-06-23 08:56:00,2022-06-25,,×,×,A
25224321050,PVｼﾖ-ﾄ(B) (5),1205,ＳＶ,15.0,8000,,,,,,,12700,2022-06-25,K-202205-1484,,2022-06-23,2,2022-06-23 09:26:00-->2022-06-23 11:02:00,2022-06-25,〇,×,×,A
25224122020,ｱﾒﾘｶ-ﾅV,1205,ＳＶ,10.0,5400,,,,,,,12700,2022-06-25,K-202205-1482,,2022-06-23,3,2022-06-23 11:32:00-->2022-06-23 13:54:00,2022-06-25,,×,×,A
25225621850,PVｼﾖ-ﾄEG(M),1205,ＳＶ,15.0,8000,,,,,,,12700,2022-06-27,K-202205-1486,,2022-06-23,4,2022-06-23 14:24:00-->2022-06-23 16:00:00,2022-06-27,〇,×,×,A
25804821000,MB-ｻﾝﾄﾞｼﾖ-ﾄDX-TL(H),1205,ＳＶ,15.0,8000,〇,,,,,,12700,2022-06-27,K-202205-1496,,2022-06-23,5,2022-06-23 16:10:00-->2022-06-23 17:46:00,2022-06-25,,×,×,A
25710721000,FPｼｮ-ﾄLT2,1205,ＳＶ,15.0,8000,〇,,,,,〇,12700,2022-07-01,K-202205-1536,,2022-06-23,6,2022-06-23 18:06:00-->2022-06-23 19:42:00,2022-06-24,〇,×,×,A
